MS_FB_PARE,MS_FB,name-zh,WIKIDATA
country:tw/special-municipality:nwt,country:tw/special-municipality:nwt/county-constituency:12,新北市第12選區,Q49940403
country:tw/special-municipality:khh,country:tw/special-municipality:khh/county-constituency:15,高雄市第15選區,Q49987095
country:tw/special-municipality:khh,country:tw/special-municipality:khh/county-constituency:14,高雄市第14選區,Q49987034
country:tw/special-municipality:khh,country:tw/special-municipality:khh/county-constituency:13,高雄市第13選區,Q49986969
country:tw/special-municipality:tpe,country:tw/special-municipality:tpe/county-constituency:8,臺北市第08選區,Q49979750
country:tw/special-municipality:tao,country:tw/special-municipality:tao/county-constituency:14,桃園市第14選區,Q49943385
country:tw/special-municipality:tnn,country:tw/special-municipality:tnn/county-constituency:18,臺南市第18選區,Q49980858
country:tw/special-municipality:txg,country:tw/special-municipality:txg/county-constituency:16,臺中市第16選區,Q49979141
country:tw/special-municipality:txg,country:tw/special-municipality:txg/county-constituency:15,臺中市第15選區,Q49979069
country:tw/special-municipality:nwt,country:tw/special-municipality:nwt/county-constituency:11,新北市第11選區,Q49940300
country:tw/special-municipality:khh,country:tw/special-municipality:khh/county-constituency:12,高雄市第12選區,Q49986899
country:tw/special-municipality:tpe,country:tw/special-municipality:tpe/county-constituency:7,臺北市第07選區,Q49979678
country:tw/special-municipality:tao,country:tw/special-municipality:tao/county-constituency:13,桃園市第13選區,Q49943298
country:tw/county:hua,country:tw/county:hua/county-constituency:10,花蓮縣第10選區,Q49981711
country:tw/city:hsz,country:tw/city:hsz/county-constituency:6,新竹市第06選區,Q49940907
country:tw/city:kee,country:tw/city:kee/county-constituency:8,基隆市第08選區,Q49935600
country:tw/county:hua,country:tw/county:hua/county-constituency:7,花蓮縣第07選區,Q49981629
country:tw/county:hua,country:tw/county:hua/county-constituency:6,花蓮縣第06選區,Q49981606
country:tw/county:hua,country:tw/county:hua/county-constituency:5,花蓮縣第05選區,Q49981584
country:tw/county:ttt,country:tw/county:ttt/county-constituency:10,臺東縣第10選區,Q49981288
country:tw/county:ttt,country:tw/county:ttt/county-constituency:9,臺東縣第09選區,Q49981253
country:tw/county:ttt,country:tw/county:ttt/county-constituency:8,臺東縣第08選區,Q49981220
country:tw/county:ttt,country:tw/county:ttt/county-constituency:7,臺東縣第07選區,Q49981189
country:tw/county:pif,country:tw/county:pif/county-constituency:8,屏東縣第08選區,Q49937560
country:tw/county:nan,country:tw/county:nan/county-constituency:6,南投縣第06選區,Q49933896
country:tw/county:cha,country:tw/county:cha/county-constituency:9,彰化縣第09選區,Q49939210
country:tw/county:mia,country:tw/county:mia/county-constituency:7,苗栗縣第07選區,Q49981946
country:tw/county:hsq,country:tw/county:hsq/county-constituency:11,新竹縣第11選區,Q49941929
country:tw/county:ila,country:tw/county:ila/county-constituency:11,宜蘭縣第11選區,Q49936594
country:tw/county:hua,country:tw/county:hua/county-constituency:9,花蓮縣第09選區,Q49981682
country:tw/county:hua,country:tw/county:hua/county-constituency:8,花蓮縣第08選區,Q49981653
country:tw/county:ttt,country:tw/county:ttt/county-constituency:15,臺東縣第15選區,Q49981463
country:tw/county:ttt,country:tw/county:ttt/county-constituency:14,臺東縣第14選區,Q49981429
country:tw/county:ttt,country:tw/county:ttt/county-constituency:13,臺東縣第13選區,Q49981397
country:tw/county:ttt,country:tw/county:ttt/county-constituency:12,臺東縣第12選區,Q49981359
country:tw/county:ttt,country:tw/county:ttt/county-constituency:11,臺東縣第11選區,Q49981326
country:tw/county:pif,country:tw/county:pif/county-constituency:16,屏東縣第16選區,Q49938335
country:tw/county:pif,country:tw/county:pif/county-constituency:15,屏東縣第15選區,Q49938238
country:tw/county:pif,country:tw/county:pif/county-constituency:14,屏東縣第14選區,Q49938137
country:tw/county:pif,country:tw/county:pif/county-constituency:13,屏東縣第13選區,Q49938033
country:tw/county:pif,country:tw/county:pif/county-constituency:12,屏東縣第12選區,Q49937937
country:tw/county:pif,country:tw/county:pif/county-constituency:11,屏東縣第11選區,Q49937845
country:tw/county:pif,country:tw/county:pif/county-constituency:10,屏東縣第10選區,Q49937751
country:tw/county:pif,country:tw/county:pif/county-constituency:9,屏東縣第09選區,Q49937659
country:tw/county:cyq,country:tw/county:cyq/county-constituency:7,嘉義縣第07選區,Q49934920
country:tw/county:nan,country:tw/county:nan/county-constituency:8,南投縣第08選區,Q49934086
country:tw/county:nan,country:tw/county:nan/county-constituency:7,南投縣第07選區,Q49933997
country:tw/county:mia,country:tw/county:mia/county-constituency:8,苗栗縣第08選區,Q49981980
country:tw/county:hsq,country:tw/county:hsq/county-constituency:13,新竹縣第13選區,Q49942109
country:tw/county:hsq,country:tw/county:hsq/county-constituency:12,新竹縣第12選區,Q49942018
country:tw/county:ila,country:tw/county:ila/county-constituency:13,宜蘭縣第13選區,Q49936786
country:tw/county:ila,country:tw/county:ila/county-constituency:12,宜蘭縣第12選區,Q49936691
country:tw/special-municipality:tnn,country:tw/special-municipality:tnn/county-constituency:17,臺南市第17選區,Q49980794
